movie_id,title,release_year,genre,tmdb_rating_10,tmdb_vote_count,imdb_rating_10,imdb_vote_count,movielens_rating_10,movielens_rating_count,is_complete
demo_001,Amber Archive,2020,Action,7.0,10266,7.2,673435,6.8,10876,True
demo_002,Broken Archive,1995,Comedy,5.3,49030,4.9,289106,4.6,13741,True
demo_003,Crimson Archive,2006,Drama,5.3,52079,5.5,87963,5.7,3154,True
demo_004,Distant Archive,2014,Documentary,7.8,28852,7.5,675619,8.0,5290,True
demo_005,Electric Archive,1991,Horror,7.8,38403,6.6,28699,7.0,10319,True
demo_006,Hidden Archive,1987,Sci-Fi,5.5,9622,5.3,371574,6.2,2515,True
demo_007,Last Archive,1988,Action,7.9,7089,7.7,727057,7.8,16290,True
demo_008,Quiet Archive,1981,Comedy,5.3,47168,5.1,267456,,,False
demo_009,Silver Archive,2018,Drama,5.8,32785,5.6,778313,5.3,12722,True
demo_010,Winter Archive,2019,Documentary,4.8,47250,4.2,851449,4.8,4280,True
demo_011,Amber Bridge,2013,Horror,6.0,6744,5.7,623622,6.1,9222,True
demo_012,Broken Bridge,2024,Sci-Fi,,,3.9,860781,3.4,13561,False
demo_013,Crimson Bridge,1988,Action,7.6,28331,7.5,391526,7.3,2239,True
demo_014,Distant Bridge,2016,Comedy,6.4,44291,6.1,199016,6.2,4546,True
demo_015,Electric Bridge,2003,Drama,4.6,19501,3.7,276653,3.8,17044,True
demo_016,Hidden Bridge,2005,Documentary,4.8,7449,5.3,564440,5.1,11040,True
demo_017,Last Bridge,1997,Horror,4.5,43543,4.6,590223,4.0,1906,True
demo_018,Quiet Bridge,2005,Sci-Fi,7.3,15848,7.0,498572,,,False
demo_019,Silver Bridge,2009,Action,6.5,32246,6.3,69676,6.3,4125,True
demo_020,Winter Bridge,2018,Comedy,7.7,7141,7.6,251567,7.8,11096,True
demo_021,Amber City,2013,Drama,6.7,28990,6.2,434317,7.1,11106,True
demo_022,Broken City,2014,Documentary,6.4,27490,5.9,42648,6.6,387,True
demo_023,Crimson City,1992,Horror,7.2,16331,6.8,31624,6.6,2830,True
demo_024,Distant City,2017,Sci-Fi,8.1,5579,7.5,887108,8.8,8050,True
demo_025,Electric City,1993,Action,8.3,50150,8.3,140282,8.9,14511,True
demo_026,Hidden City,1981,Comedy,5.3,46449,5.1,10013,6.1,12433,True
demo_027,Last City,2005,Drama,,,6.7,504358,7.1,9893,False
demo_028,Quiet City,2020,Documentary,4.1,33749,4.4,532953,,,False
demo_029,Silver City,2003,Horror,6.7,47888,6.6,841555,6.0,1561,True
demo_030,Winter City,1986,Sci-Fi,6.5,5881,7.0,335428,6.6,2018,True
